2016-12-07 02:38:08.078480
Healthcheck Report Proxy
Tests,Results,Notes
Session Setup,FAIL,RspSeNoResource;Server unable to complete session setup owing to missing resource
LSC STATUS,FAIL
LSC PAUSE,FAIL
LSC PLAY,FAIL
LSC FWD5X,FAIL
LSC FWD15X,FAIL
LSC FWD30X,FAIL
LSC FWD60X,FAIL
LSC PLAY,FAIL
LSC RWD5X,FAIL
LSC RWD15X,FAIL
LSC RWD30X,FAIL
LSC RWD60X,FAIL
LSC PLAY,FAIL
TEARDOWN,FAIL
